doi,paper_id,paper_title
10.1063/1.2829586,R732691,<i>In situ</i> H2S passivation of In0.53Ga0.47As∕InP metal-oxide-semiconductor capacitors with atomic-layer deposited HfO2 gate dielectric
10.1063/1.3269577,R732694,Low-voltage pentacene organic field-effect transistors with high-κ HfO2 gate dielectrics and high stability under bias stress
10.1063/1.3243234,R732697,"Structural analysis, elemental profiling, and electrical characterization of HfO2 thin films deposited on In0.53Ga0.47As surfaces by atomic layer deposition"
10.1149/1.2840616,R732700,Electrical Properties of Atomic Layer Deposition HfO[sub 2] and HfO[sub x]N[sub y] on Si Substrates with Various Crystal Orientations
10.1149/1.2995832,R732703,"Chemical Bonding, Interfaces, and Defects in Hafnium Oxide∕Germanium Oxynitride Gate Stacks on Ge(100)"
10.1063/1.2405387,R732706,Interfacial self-cleaning in atomic layer deposition of HfO2 gate dielectric on In0.15Ga0.85As
10.1063/1.2883956,R732709,GaAs interfacial self-cleaning by atomic layer deposition
10.1116/1.2753846,R732712,Deposition of TiN and HfO2 in a commercial 200mm remote plasma atomic layer deposition reactor
10.1063/1.2472189,R732715,Electrical property improvements of high-k gate oxide by <i>in situ</i> nitrogen incorporation during atomic layer deposition
10.1063/1.2798598,R732718,Synthesis and <i>in situ</i> characterization of low-resistivity TaNx films by remote plasma atomic layer deposition
10.1063/1.3176946,R732721,Surface reactions during atomic layer deposition of Pt derived from gas phase infrared spectroscopy
10.1002/anie.201806985,R732724,Rhenium Metal and Rhenium Nitride Thin Films Grown by Atomic Layer Deposition
10.1116/1.4968202,R732727,As2S3 thin films deposited by atomic layer deposition
10.1021/acs.chemmater.8b04969,R732730,Atomic Layer Deposition of PbI<sub>2</sub> Thin Films
10.1039/C8NR02339E,R732733,"Low-temperature plasma-enhanced atomic layer deposition of 2-D MoS<sub>2</sub>: large area, thickness control and tuneable morphology"
10.1016/j.solmat.2017.05.040,R732736,Atomic layer deposition of high-mobility hydrogen-doped zinc oxide
10.1039/c7ra07722j,R732739,Plasma-assisted and thermal atomic layer deposition of electrochemically active Li<sub>2</sub>CO<sub>3</sub>
10.1021/acs.chemmater.6b05346,R732742,Low-Temperature Atomic Layer Deposition of Cobalt Oxide as an Effective Catalyst for Photoelectrochemical Water-Splitting Devices
10.1116/1.5066638,R732745,Atomic layer deposition of cobalt(II) oxide thin films from Co(BTSA)2(THF) and H2O
10.1016/j.mtchem.2018.04.005,R732748,Atomic layer deposition of crystalline molybdenum oxide thin films and phase control by post-deposition annealing
10.1021/acs.chemmater.8b04129,R732752,"Atomic Layer Deposition of Molybdenum and Tungsten Oxide Thin Films Using Heteroleptic Imido-Amidinato Precursors: Process Development, Film Characterization, and Gas Sensing Properties"
10.1149/1.2344843,R732755,Low-Temperature Deposition of TiN by Plasma-Assisted Atomic Layer Deposition
10.1116/1.2198846,R732758,Growth mechanism and diffusion barrier property of plasma-enhanced atomic layer deposition Ti–Si–N thin films
10.1063/1.2214438,R732761,<i>In situ</i> spectroscopic ellipsometry study on the growth of ultrathin TiN films by plasma-assisted atomic layer deposition
10.1063/1.4975928,R732764,Atomic layer deposition and properties of mixed Ta2O5 and ZrO2 films
10.1063/1.4811788,R732767,Theoretical and experimental studies on the electronic structure of crystalline and amorphous ZnSnO3 thin films
10.1149/1.2981628,R732770,Effects of Low Temperature O2 Treatment on the Electrical Characteristics of Amorphous LaAlO3 Films by Atomic Layer Deposition
10.1149/1.3074314,R732773,Atomic Layer Deposition of Lanthanum-Based Ternary Oxides
10.1149/2.011305jes,R732776,Atomic Layer Deposition of LiCoO<sub>2</sub>Thin-Film Electrodes for All-Solid-State Li-Ion Micro-Batteries
10.1116/1.4936390,R732779,Enhancing of catalytic properties of vanadia via surface doping with phosphorus using atomic layer deposition
10.1021/cm503587w,R732782,Atomic Layer Deposition of Aluminum Phosphate Based on the Plasma Polymerization of Trimethyl Phosphate
10.1149/2.014406jss,R732785,Atomic Layer Deposition of Nanolaminate Structures of Alternating PbTe and PbSe Thermoelectric Films
10.1039/C4TC02707H,R732789,Atomic layer deposition of B-doped ZnO using triisopropyl borate as the boron precursor and comparison with Al-doped ZnO
10.1007/s00339-015-9280-3,R732792,Plasma-enhanced atomic-layer-deposited MoO x emitters for silicon heterojunction solar cells
10.1038/srep18754,R732796,Self-Limiting Layer Synthesis of Transition Metal Dichalcogenides
10.1002/admi.201700123,R732799,Atomic Layer Deposition of Crystalline MoS<sub>2</sub> Thin Films: New Molybdenum Precursor for Low‐Temperature Film Growth
10.1149/1.3504196,R732802,Atomic Layer Deposition of Ni Thin Films and Application to Area-Selective Deposition
10.1021/cm400215q,R732805,Deposition of Copper by Plasma-Enhanced Atomic Layer Deposition Using a Novel N-Heterocyclic Carbene Precursor
10.1021/acsami.5b04420,R732808,Electron Scattering and Doping Mechanisms in Solid-Phase-Crystallized In<sub>2</sub>O<sub>3</sub>:H Prepared by Atomic Layer Deposition
10.1063/1.4962008,R732811,On the solid phase crystallization of In2O3:H transparent conductive oxide films prepared by atomic layer deposition
10.1149/1.3552616,R732814,Remote Plasma Atomic Layer Deposition of Co3O4 Thin Films
10.1021/acs.chemmater.6b05214,R732817,"Plasma-Enhanced Atomic Layer Deposition of Two-Dimensional WS<sub>2</sub> from WF<sub>6</sub>, H<sub>2</sub> Plasma, and H<sub>2</sub>S"
10.1021/acs.jpcc.9b03039,R732820,Intercalation of Lithium Ions from Gaseous Precursors into β-MnO<sub>2</sub> Thin Films Deposited by Atomic Layer Deposition
10.1116/1.5034097,R732823,Comparison of thermal and plasma-enhanced atomic layer deposition of niobium oxide thin films
10.1021/acsami.5b06833,R732826,Atomic Layer Deposition of Silicon Nitride from Bis(<i>tert</i>-butylamino)silane and N<sub>2</sub> Plasma
10.1021/acsami.6b12267,R732829,Atomic Layer Deposition of Wet-Etch Resistant Silicon Nitride Using Di(<i>sec</i>-butylamino)silane and N<sub>2</sub>Plasma on Planar and 3D Substrate Topographies
10.1063/1.4926366,R732832,Redeposition in plasma-assisted atomic layer deposition: Silicon nitride film quality ruled by the gas residence time
10.1021/acs.chemmater.9b01008,R732835,Edge-Site Nanoengineering of WS<sub>2</sub> by Low-Temperature Plasma-Enhanced Atomic Layer Deposition for Electrocatalytic Hydrogen Evolution
10.1021/acsomega.9b01351,R732838,Atomic Layer Deposition of Photoconductive Cu<sub>2</sub>O Thin Films
10.1116/1.5079553,R732841,Plasma enhanced atomic layer deposition of gallium sulfide thin films
10.1002/smll.201800547,R732844,Low‐Temperature Wafer‐Scale Deposition of Continuous 2D SnS<sub>2</sub> Films
10.1002/aenm.201100330,R732847,Atomic Layer Deposition of Tin Monosulfide Thin Films
10.1116/1.4984279,R732850,Atomic layer deposition of tin oxide thin films from bis[bis(trimethylsilyl)amino]tin(II) with ozone and water
10.1116/1.5074153,R732853,Crystalline tungsten sulfide thin films by atomic layer deposition and mild annealing
10.1016/j.egypro.2014.07.321,R732856,Atomic Layer Deposition of Tungsten Oxide for Solar Cell Application
10.1021/acsami.9b10848,R732859,Plasma-Enhanced Atomic Layer Deposition of Nanostructured Gold Near Room Temperature
10.1039/C9TC04282B,R732862,Plasma-assisted atomic layer deposition of nickel oxide as hole transport layer for hybrid perovskite solar cells
10.1116/1.5015967,R732865,In-system photoelectron spectroscopy study of tin oxide layers produced from tetrakis(dimethylamino)tin by plasma enhanced atomic layer deposition
10.1116/1.4758782,R732868,Low temperature deposition of Ga2O3 thin films using trimethylgallium and oxygen plasma
10.1088/2053-1583/ab4c09,R732871,Van der Waals epitaxy of continuous thin films of 2D materials using atomic layer deposition in low temperature and low vacuum conditions
10.1016/j.apsusc.2016.11.192,R732874,The influence of tertiary butyl hydrazine as a co-reactant on the atomic layer deposition of silver
10.1016/j.tsf.2018.06.011,R732877,Atomic layer deposition of lanthanum oxide with heteroleptic cyclopentadienyl-amidinate lanthanum precursor - Effect of the oxygen source on the film growth and properties
10.1116/1.5079539,R732880,Comparative study on the use of novel heteroleptic cyclopentadienyl-based zirconium precursors with H2O and O3 for atomic layer deposition of ZrO2
10.1016/j.jmmm.2019.166167,R732883,Behavior of nanocomposite consisting of manganese ferrite particles and atomic layer deposited bismuth oxide chloride film
10.1116/1.3664102,R732887,Atomic layer deposition of GaN at low temperatures
10.1021/acsami.9b18412,R732890,Thermal and Plasma-Enhanced Atomic Layer Deposition of Yttrium Oxide Films and the Properties of Water Wettability
10.3390/ma13010093,R732893,Control of Eu Oxidation State in Y2O3−xSx:Eu Thin-Film Phosphors Prepared by Atomic Layer Deposition: A Structural and Photoluminescence Study
10.1116/1.5143896,R732896,"Atomic layer deposition of cobalt phosphate from cobaltocene, trimethylphosphate, and O2 plasma"
10.1021/acs.jpcc.0c00301,R732899,"Atomic Layer Deposition of Aluminum Phosphate Using AlMe<sub>3</sub>, PO(OMe)<sub>3</sub>, and O<sub>2</sub> Plasma: Film Growth and Surface Reactions"
10.1149/2.024202esl,R732902,Substrate Biasing during Plasma-Assisted ALD for Crystalline Phase-Control of TiO2 Thin Films
10.1116/1.4972210,R732905,Atomic layer deposition of HfO2 using HfCp(NMe2)3 and O2 plasma
10.1063/1.4890737,R732908,Electronic passivation of silicon surfaces by thin films of atomic layer deposited gallium oxide
10.1002/anie.202002280,R732911,Atomic Layer Deposition of Cobalt Phosphide for Efficient Water Splitting
10.1002/admi.202001046,R732914,Controlling Atomic Layer Deposition of 2D Semiconductor SnS<sub>2</sub> by the Choice of Substrate
10.1021/acsami.9b19716,R732917,Probing the Origin and Suppression of Vertically Oriented Nanostructures of 2D WS<sub>2</sub> Layers
10.1021/acs.chemmater.0c01887,R732920,Atomic Layer Deposition of PbS Thin Films at Low Temperatures
10.1021/acsanm.0c02167,R732923,Atomic Layer Deposition of Al-Doped MoS<sub>2</sub>: Synthesizing a p-type 2D Semiconductor with Tunable Carrier Density
10.1016/j.elecom.2018.11.021,R732926,Atomic layer deposition of cobalt phosphate thin films for the oxygen evolution reaction
10.1088/1361-6528/ab6fd6,R732929,Silicon oxide-niobium oxide mixture films and nanolaminates grown by atomic layer deposition from niobium pentaethoxide and hexakis(ethylamino) disilane
10.1116/6.0000212,R732932,Magnetic properties and resistive switching in mixture films and nanolaminates consisting of iron and silicon oxides grown by atomic layer deposition
10.1021/acsanm.0c02820,R732935,Conformal Growth of Nanometer-Thick Transition Metal Dichalcogenide TiS<i><sub>x</sub></i>-NbS<i><sub>x</sub></i> Heterostructures over 3D Substrates by Atomic Layer Deposition: Implications for Device Fabrication
10.1116/6.0000434,R732938,Atomic layer deposition of ruthenium using an ABC-type process: Role of oxygen exposure during nucleation
10.1021/acsami.8b00183,R732941,Tuning Material Properties of Oxides and Nitrides by Substrate Biasing during Plasma-Enhanced Atomic Layer Deposition on Planar and 3D Substrate Topographies
10.1116/6.0000790,R732944,Atomic layer deposition of TbF3 thin films
10.1039/D0CP05428C,R732947,Atomic layer deposition of LiF using LiN(SiMe<sub>3</sub>)<sub>2</sub> and SF<sub>6</sub> plasma
10.1021/acs.jpcc.8b06342,R732950,"Atomic Layer Deposition of Cobalt Using H<sub>2</sub>-, N<sub>2</sub>-, and NH<sub>3</sub>-Based Plasmas: On the Role of the Co-reactant"
10.1116/1.4917552,R732953,Use of B2O3 films grown by plasma-assisted atomic layer deposition for shallow boron doping in silicon
10.1149/2.0241509jss,R732956,Nanomechanical and Morphological Characterization of Tungsten Trioxide (WO<sub>3</sub>) Thin Films Grown by Atomic Layer Deposition
10.1002/smll.202102635,R732959,Atomic Layer Deposition of Textured Li<sub>4</sub>Ti<sub>5</sub>O<sub>12</sub>: A High‐Power and Long‐Cycle Life Anode for Lithium‐Ion Thin‐Film Batteries
10.1116/6.0001629,R732962,Atomic layer deposition of GdF3 thin films
10.3390/coatings11020173,R732966,Influence of Substrate Materials on Nucleation and Properties of Iridium Thin Films Grown by ALD
10.1002/admi.202200013,R732970,Atomic Layer Deposition of the Conductive Delafossite PtCoO<sub>2</sub>
10.1149/2.1191906jes,R732973,Plasma-Assisted ALD of LiPO(N) for Solid State Batteries
10.1021/acs.chemmater.2c01202,R732976,Atomic Layer Deposition of CsI and CsPbI<sub>3</sub>
10.1038/ncomms8817,R732979,Controllable synthesis of molybdenum tungsten disulfide alloy for vertically composition-controlled multilayer
10.1002/admi.202200643,R732982,Atomic Layer Deposition of MoS<sub>2</sub> Decorated TiO<sub>2</sub> Nanotubes for Photoelectrochemical Water Splitting
10.1021/acsomega.2c06240,R732985,"Magneto-Optical and Muliferroic Properties of Transition-Metal (Fe, Co, or Ni)-Doped ZnO Layers Deposited by ALD"
10.3390/applnano4010003,R732988,"Thin Film Deposition of MoP, a Topological Semimetal"
10.1116/6.0002414,R732992,Control by atomic layer deposition over the chemical composition of nickel cobalt oxide for the oxygen evolution reaction
10.1002/pssa.201127430,R732995,Structural properties of AlN films deposited by plasma‐enhanced atomic layer deposition at different growth temperatures
10.1116/1.3687937,R732998,Optical properties of AlN thin films grown by plasma enhanced atomic layer deposition
10.1116/1.4936230,R733001,Substrate temperature influence on the properties of GaN thin films grown by hollow-cathode plasma-assisted atomic layer deposition
10.1116/1.4953463,R733004,Substrate impact on the low-temperature growth of GaN thin films by plasma-assisted atomic layer deposition
10.1063/1.4884061,R733007,Low temperature thin film transistors with hollow cathode plasma-assisted atomic layer deposition based GaN channels
10.1116/6.0002095,R733010,Thermomechanical properties of aluminum oxide thin films made by atomic layer deposition
10.1002/admi.202202166,R733013,Spatially‐Modulated Silicon Interface Energetics Via Hydrogen Plasma‐Assisted Atomic Layer Deposition of Ultrathin Alumina
10.1016/j.solmat.2022.111731,R733016,Interdigitated back-contacted crystalline silicon solar cells fully manufactured with atomic layer deposited selective contacts
10.1038/s41598-023-46877-4,R733019,High-confinement alumina waveguides with sub-dB/cm propagation losses at 450 nm
