process_id,process_material,process_reactanta,process_reactantb,process_reactantc,process_reactantd,reference_doi,paper_id,paper_title,extracted_info
683,Ta2O5,Ta(NMe2)5,H2O,,,10.1116/1.2345205,R732617,Atomic layer deposition of Ta-based thin films: Reactions of alkylamide precursor with various reactants,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, H2O""
        ],
        ""temperature_range"": ""150-500 °C"",
        ""pressure_range"": ""0.5-10 mTorr""
    },
    ""film_properties"": {
        ""material"": ""Ta2O5"",
        ""thickness_control"": ""Thickness was routinely determined by Ellipsometer, additional measurements by RBS or SEM"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""18 nm (example given for PE-ALD at 250 °C)"",
        ""film_density"": ""94% of bulk value"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Growth rate saturates well at long exposure time, satisfying the basic requirement of ALD process"",
        ""nucleation_behavior"": ""Amorphous structure at typical growth temperature of 250 °C, recrystallizes to orthorhombic Ta2O5 at 1000 °C"",
        ""growth_per_cycle"": ""0.85 Å/cycle for thermal ALD, 1.2 Å/cycle for PE-ALD at 250 °C""
    },
    ""safety"": ""-"",
    ""stability"": ""Amorphous up to 500 °C, recrystallizes at 1000 °C"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Microstructure"": ""Amorphous at typical growth temperatures, orthorhombic after annealing at 1000 °C"",
        ""Impurity incorporation"": ""No significant carbon or nitrogen incorporation at Ts ≤ 300 °C, nitrogen incorporation at Ts = 500 °C"",
        ""Chemical composition"": ""Ta:O ratio of 2:5.2 ±0.1, very pure with C, N < 1% at Ts ≤ 300 °C""
    }
}"
683,Ta2O5,Ta(NMe2)5,H2O,,,10.1063/1.2472189,R732715,Electrical property improvements of high-k gate oxide by <i>in situ</i> nitrogen incorporation during atomic layer deposition,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, H2O""
        ],
        ""temperature_range"": ""250 °C"",
        ""pressure_range"": ""-""
    },
    ""film_properties"": {
        ""material"": ""Ta2O5"",
        ""thickness_control"": ""Atomic accuracy control"",
        ""uniformity"": ""Clean and smooth interface with an amorphous structure"",
        ""conformality"": ""-"",
        ""film_thickness"": ""10 nm"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Growth rate was 0.8 Å/cycle at saturation conditions"",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""0.8 Å/cycle""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""Improved electrical properties, reduced leakage current, enhanced dielectric strength"",
    ""extra_properties"": {
        ""nitrogen_incorporation"": ""1.2% by XPS, confirmed by SIMS"",
        ""interface_state_density"": ""1.8x10^12 cm^-2 eV^-1 for ALD Ta2O5, 1.4x10^11 cm^-2 eV^-1 for ALD TaOxNy"",
        ""leakage_current_density"": ""7.6x10^-6 A/cm^2 for ALD Ta2O5, 4x10^-7 A/cm^2 for ALD TaOxNy"",
        ""dielectric_breakdown_strength"": ""20 MV/cm for ALD TaOxNy, 10 MV/cm for ALD Ta2O5"",
        ""time_to_breakdown"": ""Increased by about 700 times with in situ nitridation""
    }
}"
684,Ta2O5,Ta(NMe2)5,O2 plasma,,,10.1116/1.3256227,R732624,"Optical emission spectroscopy as a tool for studying, optimizing, and monitoring plasma-assisted atomic layer deposition processes","{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, O2 plasma""
        ],
        ""temperature_range"": ""-"",
        ""pressure_range"": ""7.5-15 mTorr""
    },
    ""film_properties"": {
        ""material"": ""Ta2O5"",
        ""thickness_control"": ""-"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""-"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Time-resolved measurements reveal information about the amount of precursor dosing and length of plasma exposure needed to saturate the self-limiting half reactions."",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""-""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""Time-resolved OES can reveal information about the saturation of the two half reactions, it is also possible to optimize half reaction times by OES. This is helpful to decrease precursor consumption and to increase wafer throughput."",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Optical Emission Spectroscopy (OES)"": ""OES is used to study, optimize, and monitor plasma-assisted ALD processes."",
        ""Reaction Products"": ""Emission lines of CO, OH, H, and CN were observed, indicating combustionlike reactions and the breaking of Ta–N bonds during the oxidation of the film and its surface groups."",
        ""Plasma Conditions"": ""Plasma powers within the range of 100-400 W, gas flows of 30-60 sccm.""
    }
}"
684,Ta2O5,Ta(NMe2)5,O2 plasma,,,10.1149/1.2186427,R732673,Thermal and Plasma-Enhanced ALD of Ta and Ti Oxide Thin Films from Alkylamide Precursors,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, O2 plasma""
        ],
        ""temperature_range"": ""100-500°C"",
        ""pressure_range"": ""10 mTorr""
    },
    ""film_properties"": {
        ""material"": ""Ta2O5"",
        ""thickness_control"": ""Ellipsometry was used to measure thickness; growth rate saturates at 0.85 Å/cycle for thermal ALD and 1.2 Å/cycle for PE-ALD"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""10 nm"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Good self-saturation growth characteristics observed for Ta2O5"",
        ""nucleation_behavior"": ""Almost no nucleation delay observed on Si(001)"",
        ""growth_per_cycle"": ""0.85 Å/cycle for thermal ALD, 1.2 Å/cycle for PE-ALD""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""Leakage current density of thermal ALD Ta2O5 film is 6 x 10^-5 A/cm^2 at 1 MV/cm; PE-ALD Ta2O5 is 8 x 10^-7 A/cm^2"",
    ""extra_properties"": {
        ""microstructure"": ""Amorphous in the growth temperature region studied (150-350°C)"",
        ""chemical_composition"": ""Pure Ta2O5 films with C, N < 1%"",
        ""electrical_properties"": ""Leakage current density of thermal ALD Ta2O5 film is 6 x 10^-5 A/cm^2 at 1 MV/cm; PE-ALD Ta2O5 is 8 x 10^-7 A/cm^2""
    }
}"
684,Ta2O5,Ta(NMe2)5,O2 plasma,,,10.1116/1.2345205,R732617,Atomic layer deposition of Ta-based thin films: Reactions of alkylamide precursor with various reactants,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, O2 plasma""
        ],
        ""temperature_range"": ""150-500 °C"",
        ""pressure_range"": ""10^-7 Torr base pressure, 10 mTorr during reactant exposure""
    },
    ""film_properties"": {
        ""material"": ""Ta2O5"",
        ""thickness_control"": ""Thickness was routinely determined by Ellipsometer, additional measurements by RBS or SEM"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""18 nm (example from RBS data)"",
        ""film_density"": ""94% of bulk value"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Growth rate saturates well at long exposure time, satisfying the basic requirement of ALD process"",
        ""nucleation_behavior"": ""Amorphous microstructure at typical growth temperature of 250 °C, recrystallizes to orthorhombic Ta2O5 at 1000 °C"",
        ""growth_per_cycle"": ""1.2 Å/cycle for PE-ALD at 250 °C""
    },
    ""safety"": ""-"",
    ""stability"": ""Amorphous structure remains up to 500 °C, recrystallizes at 1000 °C"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Microstructure"": ""Amorphous at typical growth temperatures, orthorhombic after annealing at 1000 °C"",
        ""Impurity incorporation"": ""No detectable incorporation of carbon or nitrogen at Ts ≤ 300 °C, nitrogen incorporation at Ts = 500 °C"",
        ""Chemical composition"": ""Ta:O ratio of 2:5.2 ±0.1, very pure with C, N < 1% at Ts ≤ 300 °C""
    }
}"
704,TaNx,Ta(NMe2)5,H2 plasma,,,10.1116/1.2345205,R732617,Atomic layer deposition of Ta-based thin films: Reactions of alkylamide precursor with various reactants,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, H2 plasma""
        ],
        ""temperature_range"": ""150-500 °C"",
        ""pressure_range"": ""10 mTorr""
    },
    ""film_properties"": {
        ""material"": ""TaNx"",
        ""thickness_control"": ""Growth rate saturates at 0.35 Å/s for PE-ALD TaN"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""-"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Growth rate saturates well at long exposure time"",
        ""nucleation_behavior"": ""Amorphous structure at typical growth temperature of 250 °C"",
        ""growth_per_cycle"": ""0.35 Å/s for PE-ALD TaN""
    },
    ""safety"": ""-"",
    ""stability"": ""Post-deposition oxidation observed"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""carbon_content"": ""15 at. %"",
        ""nitrogen_content"": ""N/Ta ratio close to 0.8"",
        ""resistivity"": ""High resistivity for thermal ALD TaNx, low resistivity for PE-ALD TaN""
    }
}"
704,TaNx,Ta(NMe2)5,H2 plasma,,,10.1063/1.2798598,R732718,Synthesis and <i>in situ</i> characterization of low-resistivity TaNx films by remote plasma atomic layer deposition,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, H2 plasma""
        ],
        ""temperature_range"": ""150-250 °C"",
        ""pressure_range"": ""7.5 mTorr""
    },
    ""film_properties"": {
        ""material"": ""TaNx"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry (SE) and ex situ techniques"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""0.048±0.005 nm/cycle to 0.056±0.005 nm/cycle"",
        ""film_density"": ""9.1-12.1 g/cm³"",
        ""surface_roughness"": ""0.3 nm"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Observed with saturation in growth rate per cycle"",
        ""nucleation_behavior"": ""No distinct nucleation delay observed"",
        ""growth_per_cycle"": ""0.048±0.005 nm/cycle to 0.056±0.005 nm/cycle""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""Saturation in growth rate with PDMAT dosing time"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Electrical resistivity"": ""380-1300 µΩ·cm"",
        ""Mass density"": ""9.1-12.1 g/cm³"",
        ""Optical emission spectroscopy (OES)"": ""Used to monitor plasma reactions"",
        ""Dielectric function"": ""Determined using SE for different TaNx phases"",
        ""Plasma gas composition"": ""H2, H2-N2, NH3"",
        ""Film composition"": ""Varied with plasma conditions and exposure time""
    }
}"
705,TaNx,Ta(NMe2)5,N2 plasma,,,10.1063/1.2798598,R732718,Synthesis and <i>in situ</i> characterization of low-resistivity TaNx films by remote plasma atomic layer deposition,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, N2 plasma""
        ],
        ""temperature_range"": ""150-250 °C"",
        ""pressure_range"": ""7.5 mTorr""
    },
    ""film_properties"": {
        ""material"": ""TaNx"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry and ex situ techniques"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""0.048-0.056 nm/cycle"",
        ""film_density"": ""9.1-12.1 g/cm³"",
        ""surface_roughness"": ""0.3 nm"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Saturation in growth rate observed with precursor dosing and plasma exposure time"",
        ""nucleation_behavior"": ""No distinct nucleation delay observed"",
        ""growth_per_cycle"": ""0.048-0.056 nm/cycle""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""Saturation behavior with precursor dosing time"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Electrical resistivity"": ""380-1300 µΩ·cm"",
        ""Mass density"": ""9.1-12.1 g/cm³"",
        ""Optical emission spectroscopy"": ""Used to monitor plasma reactions and ALD growth saturation""
    }
}"
748,Pt,Pt(CpMe)Me3,O2,,,10.1557/JMR.2004.0426,R732614,Atomic layer deposition of noble metals: Exploration of the low limit of the deposition temperature,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Pt(CpMe)Me3, O2""
        ],
        ""temperature_range"": ""200-300 °C"",
        ""pressure_range"": ""10 mbar""
    },
    ""film_properties"": {
        ""material"": ""Pt"",
        ""thickness_control"": ""Film thicknesses were determined by XRR and EDX"",
        ""uniformity"": ""Good large-area uniformity"",
        ""conformality"": ""-"",
        ""film_thickness"": ""30 nm at 200 °C, 45 nm at 250 °C, 50 nm at 300 °C"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""0.8 nm at 200 and 250 °C, 1.2 nm at 300 °C"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""-"",
        ""nucleation_behavior"": ""Higher nucleation density at higher oxygen partial pressure"",
        ""growth_per_cycle"": ""0.30 Å/cycle at 200 °C, 0.51 Å/cycle at 300 °C""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""adhesion"": ""Good adhesion to the substrate, passed the tape test"",
        ""impurity_contents"": ""Less than 0.5 at.% each of hydrogen, carbon, and oxygen at 200 °C; less than 0.3 at.% each at 250 and 300 °C"",
        ""resistivity"": ""17 µΩ·cm for 30 nm film at 200 °C, 13 µΩ·cm for 50 nm film at 300 °C"",
        ""crystal_orientation"": ""Preferred (111) orientation even at the lowest deposition temperature of 200 °C""
    }
}"
748,Pt,Pt(CpMe)Me3,O2,,,10.1063/1.3176946,R732721,Surface reactions during atomic layer deposition of Pt derived from gas phase infrared spectroscopy,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Pt(CpMe)Me3, O2""
        ],
        ""temperature_range"": ""300 °C (reactor wall temperature is 70 °C)"",
        ""pressure_range"": ""0.015 Torr (MeCpPtMe3), 0.7 Torr (O2)""
    },
    ""film_properties"": {
        ""material"": ""Pt"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""0.045 ± 0.002 nm/cycle"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Growth per cycle saturates at a much smaller precursor dose"",
        ""nucleation_behavior"": ""Nucleation issues addressed by using a Pt seed layer"",
        ""growth_per_cycle"": ""0.045 ± 0.002 nm/cycle""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""Precursor is fully depleted by the surface reactions for a dosing time of 0.8 s"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Reaction Products"": ""CO2, H2O, CH4"",
        ""Surface Coverage of Chemisorbed Oxygen"": ""0.3 ML"",
        ""Precursor Adsorption Reaction"": ""One CH3 group is liberated per Pt atom during precursor adsorption"",
        ""Oxidative Decomposition"": ""Takes place via chemisorbed oxygen atoms""
    }
}"
748,Pt,Pt(CpMe)Me3,O2,,,10.1149/1.3125876,R732627,Remote Plasma ALD of Platinum and Platinum Oxide Films,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Pt(CpMe)Me3, O2""
        ],
        ""temperature_range"": ""100-300°C"",
        ""pressure_range"": ""0.01-0.03 mbar""
    },
    ""film_properties"": {
        ""material"": ""Pt"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry (SE) was used to determine the thickness during the ALD process."",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""Approximately 30 nm"",
        ""film_density"": ""21 g/cm³"",
        ""surface_roughness"": ""0.4-0.7 nm"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Yes, the process shows self-limiting behavior with a growth per cycle of 0.045 nm for Pt and 0.047 nm for PtO2."",
        ""nucleation_behavior"": ""No significant nucleation delay for remote plasma ALD, immediate growth observed."",
        ""growth_per_cycle"": ""0.045 nm/cycle for Pt, 0.047 nm/cycle for PtO2""
    },
    ""safety"": ""-"",
    ""stability"": ""PtO2 films show higher stability due to higher oxygen content (PtO2.2)."",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""Precursor dosing time of 3 s for remote plasma ALD."",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Electrical resistivity"": ""15 µΩ·cm for Pt, >100 µΩ·cm for PtO2"",
        ""Atomic composition"": ""Pt: 100%, O: <5%, C: <5% for Pt films; Pt: 31%, O: 69% for PtO2 films"",
        ""Crystallinity"": ""Cubic phase for Pt, amorphous or nanocrystalline for PtO2"",
        ""Optical properties"": ""Distinct dielectric functions for Pt and PtO2, with PtO2 showing a Tauc bandgap of 1.5 eV""
    }
}"
808,ReNx,ReCl5,NH3,,,10.1002/anie.201806985,R732724,Rhenium Metal and Rhenium Nitride Thin Films Grown by Atomic Layer Deposition,"{
    ""process_parameters"": {
        ""reactants"": [
            ""ReCl5, NH3""
        ],
        ""temperature_range"": ""275-500 °C"",
        ""pressure_range"": ""5-10 mbar""
    },
    ""film_properties"": {
        ""material"": ""ReNx"",
        ""thickness_control"": ""Growth rate of 0.4-0.5 Å/cycle for ReNx and 0.3 Å/cycle for Re"",
        ""uniformity"": ""Uniform across the substrate with proper precursor dosing"",
        ""conformality"": ""-"",
        ""film_thickness"": ""3 nm for continuous Re film, up to 43 nm for ReNx"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""2-3 nm for films grown using 1000 cycles"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Self-limiting growth confirmed with short precursor pulses"",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""0.4-0.5 Å/cycle for ReNx, 0.3 Å/cycle for Re""
    },
    ""safety"": ""-"",
    ""stability"": ""ReNx films show higher long-term stability in ambient conditions compared to Re films"",
    ""reproducibility"": ""High reproducibility with controlled growth rates and uniform film composition"",
    ""precursor_consumption"": ""Low precursor consumption with short pulse lengths"",
    ""device_performance"": ""Low resistivity of about 90 µΩ·cm for 3 nm Re film, 22 µΩ·cm for thicker Re films"",
    ""extra_properties"": {
        ""Resistivity"": ""70-290 µΩ·cm for ReNx films"",
        ""Impurity content"": ""Total impurity content of Cl, N, and H in Re thin films is about 2 at. %""
    }
}"
817,As2S3,As(NMe2)3,H2S,,,10.1116/1.4968202,R732727,As2S3 thin films deposited by atomic layer deposition,"{
    ""process_parameters"": {
        ""reactants"": [
            ""As(NMe2)3, H2S""
        ],
        ""temperature_range"": ""40-400 °C, with optimal growth at 50 °C"",
        ""pressure_range"": ""10 mbar""
    },
    ""film_properties"": {
        ""material"": ""As2S3"",
        ""thickness_control"": ""Film thickness increased linearly with the number of ALD cycles; growth rate varied between 0.64 and 0.69 Å/cycle"",
        ""uniformity"": ""Preheating substrates improved film uniformity significantly"",
        ""conformality"": ""-"",
        ""film_thickness"": ""Varied with the number of ALD cycles; specific values not provided"",
        ""film_density"": ""3.2 g/cm3 (assumed)"",
        ""surface_roughness"": ""Very smooth, almost no features seen with SEM"",
        ""refractive_index"": ""2.3 at 1.0 µm, above 2.5 at shorter wavelengths, decreased to below 2.3 at 1100 nm""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Growth rate saturated at 0.65 Å/cycle with 1.0 s pulse length for As precursor"",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""0.64 to 0.69 Å/cycle""
    },
    ""safety"": ""All chemical handling was done using a gas mask"",
    ""stability"": ""Films were sensitive to air humidity; stability improved with a protective Al2O3 layer"",
    ""reproducibility"": ""Growth rate varied between 0.64 and 0.69 Å/cycle throughout the experiments"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""impurities"": ""Films contained H and C as main impurities, with C and H in atomic ratio of 1:3"",
        ""oxidation"": ""Films began to oxidize upon exposure to air, forming As2O3 crystals"",
        ""annealing"": ""Films sublimed before crystallization when annealed under inert gas""
    }
}"
819,PbI2,Pb(N(SiMe3)2)2,SnI4,,,10.1021/acs.chemmater.8b04969,R732730,Atomic Layer Deposition of PbI<sub>2</sub> Thin Films,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Pb(N(SiMe3)2)2, SnI4""
        ],
        ""temperature_range"": ""70-155 °C"",
        ""pressure_range"": ""ca. 5 mbar""
    },
    ""film_properties"": {
        ""material"": ""PbI2"",
        ""thickness_control"": ""Film thickness increases linearly with the increasing number of deposition cycles"",
        ""uniformity"": ""Uniform films on smooth substrates, porous films on rough substrates"",
        ""conformality"": ""-"",
        ""film_thickness"": ""Varies with cycles; specific example: 2000 cycles at 75 °C resulted in films with thicknesses measured by EDS"",
        ""film_density"": ""Bulk density of PbI2 (6.10 g/cm3)"",
        ""surface_roughness"": ""Roughening of the film with increasing deposition temperature"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""GPC saturates with respect to both precursor pulse durations"",
        ""nucleation_behavior"": ""PbI2 crystallites preferentially grow with (001) planes parallel to the growth surface"",
        ""growth_per_cycle"": ""Varies with substrate; example: 0.12 Å/cycle on Al2O3 covered Si and 0.22 Å/cycle on Al2O3 covered FTO""
    },
    ""safety"": ""PbI2 films degrade in ambient air, releasing iodine"",
    ""stability"": ""PbI2 films exhibit discoloration and degrade in ambient air"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""Precursor pulse and purge durations required to achieve saturation are surprisingly short"",
    ""device_performance"": ""Exposure to light increases conductivity of the ALD PbI2 films, enabling their use in photodetectors"",
    ""extra_properties"": {
        ""Conversion to perovskite"": ""PbI2 films can be converted into CH3NH3PbI3 halide perovskite"",
        ""Film morphology"": ""Dense films on smooth substrates, porous films on rough substrates"",
        ""Crystalline texture"": ""Polycrystalline as deposited; different textures on different substrates"",
        ""Encapsulation"": ""ALD Al2O3 is effective in protecting PbI2 films from ambient air""
    }
}"
837,MoS2, Mo(NMe2)2(NtBu)2,H2S plasma,,,10.1039/C8NR02339E,R732733,"Low-temperature plasma-enhanced atomic layer deposition of 2-D MoS<sub>2</sub>: large area, thickness control and tuneable morphology","{
    ""process_parameters"": {
        ""reactants"": [
            ""Mo(NMe2)2(NtBu)2, H2S plasma""
        ],
        ""temperature_range"": ""150°C - 450°C"",
        ""pressure_range"": ""-""
    },
    ""film_properties"": {
        ""material"": ""MoS2"",
        ""thickness_control"": ""Å level control over film thickness with linear relationship between thickness and number of ALD cycles"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""ca. 20 nm"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""RMS roughness of 5.2 nm at 400°C"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Self-limiting behavior observed with GPC saturating to 0.1 nm/cycle"",
        ""nucleation_behavior"": ""No nucleation delay during initial cycles"",
        ""growth_per_cycle"": ""0.1 nm/cycle""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""Reproducible synthesis of mono-layer to thick MoS2 films"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""XPS_analysis"": ""Surface scan and resolved spectra for Mo3d, O1s, and C1s regions"",
        ""RBS_analysis"": ""Stoichiometry (S/Mo) measured at different temperatures"",
        ""Raman_spectra"": ""Deconvoluted Raman spectrum showing defect-induced peaks"",
        ""TEM_and_AFM_images"": ""High-resolution TEM and AFM images showing mixed morphology and high roughness"",
        ""substrate_morphology"": ""Development of out-of-plane nanostructures on various substrates"",
        ""electrochemical_impedance_spectroscopy"": ""Nyquist plots showing charge transfer resistances""
    }
}"
838,ZnO:H,ZnEt2,H2O,H2 plasma,,10.1016/j.solmat.2017.05.040,R732736,Atomic layer deposition of high-mobility hydrogen-doped zinc oxide,"{
    ""process_parameters"": {
        ""reactants"": [
            ""ZnEt2, H2O, H2 plasma""
        ],
        ""temperature_range"": ""200 °C"",
        ""pressure_range"": ""-""
    },
    ""film_properties"": {
        ""material"": ""ZnO:H"",
        ""thickness_control"": ""In-situ spectroscopic ellipsometry (SE) was used for film thickness determination."",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""~75 nm"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""Root mean square roughness values are given for different cycle ratios: e.g., 1.3 nm for n=3."",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""-"",
        ""nucleation_behavior"": ""Strong competition between film nucleation and etching by H2 plasma, leading to enhanced grain size."",
        ""growth_per_cycle"": ""0.16 nm per cycle in steady-state growth""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""High mobility value up to 47 cm2/Vs and a resistivity of 1.8 mΩ·cm. Potential for use in silicon heterojunction solar cells and silicon-perovskite tandem cells."",
    ""extra_properties"": {
        ""carrier_density"": ""7.8x10^19 cm^-3 for the ZnO:H film grown using a cycle ratio of n=1**"",
        ""grain_size"": ""Approximately 50 nm for iZnO, 85 nm for n=6, and 110 nm for n=3 films"",
        ""etch_rate"": ""0.23 nm/min for ZnO films upon extended H2 plasma exposure"",
        ""crystal_orientation"": ""Strong c-axis <002> texture induced by H2 plasma treatment"",
        ""mobility_limit"": ""55 cm2/Vs for ZnO films in the carrier density range of 3x10^19 - 8x10^19 cm^-3"",
        ""hydrogen_content"": ""9.0x10^20 H at./cm^3 for iZnO and 3.8x10^21 H at./cm^3 for the doped ZnO sample"",
        ""temperature_dependent_mobility"": ""Mobility increases with decreasing temperature, indicating reduced phonon scattering at lower temperatures""
    }
}"
